,Rooms,Price,Total Space,Living Space,Kitchen Space,City center distance,Metro distance,Walk,Telephone,Balcon,Floor,Floor Number,Market Type
4634,3,15700000.0,65.0,43.0,7.0,2.717411815082455,6.0,1.0,1.0,0.0,4.0,8.0,0.0
4635,2,15750000.0,57.0,35.0,7.0,2.4859021816501286,5.0,1.0,1.0,0.0,8.0,8.0,0.0
4636,2,15750000.0,56.0,38.0,9.0,3.577770620058787,0.0,0.0,0.0,0.0,5.0,14.0,0.0
4637,2,15752100.0,58.0,58.0,0.0,4.146654536044941,7.0,1.0,0.0,1.0,2.0,5.0,0.0
4638,2,15752100.0,58.0,41.0,8.0,4.0793683027816625,5.0,1.0,1.0,0.0,2.0,9.0,0.0
4639,2,15752100.0,58.0,45.0,1.0,4.079183761097545,7.0,1.0,0.0,0.0,2.0,5.0,0.0
4640,1,15777174.0,51.0,0.0,0.0,3.7813710405322927,9.0,1.0,1.0,0.0,4.0,13.0,0.0
4641,2,15800000.0,50.0,32.0,6.0,2.036856231526128,7.0,1.0,1.0,0.0,2.0,7.0,0.0
4642,1,15839193.0,39.0,0.0,1.0,2.920392355582761,5.0,1.0,1.0,1.0,3.0,7.0,0.0
4643,1,15839192.0,39.0,0.0,1.0,2.9535529068609896,8.0,1.0,1.0,0.0,3.0,7.0,0.0
4644,3,15850000.0,64.0,39.0,8.0,3.261628130354297,10.0,1.0,0.0,0.0,7.0,12.0,0.0
4645,2,15900000.0,52.0,38.0,5.0,3.2982642032749503,9.0,1.0,1.0,0.0,2.0,9.0,0.0
4646,3,15900000.0,68.0,64.0,1.0,6.241400873560745,0.0,0.0,1.0,0.0,5.0,14.0,0.0
4647,1,15937100.0,45.0,37.0,8.0,2.900390917853843,5.0,1.0,1.0,0.0,5.0,7.0,0.0
4648,4,99450000.0,153.0,0.0,1.0,2.36024187892499,7.0,1.0,1.0,0.0,2.0,7.0,0.0
4649,1,34245568.0,59.0,30.0,2015.0,2.160406463038514,6.0,1.0,1.0,0.0,2.0,11.0,0.0
4650,4,64390950.0,159.0,0.0,1.0,4.176269810531407,9.0,1.0,1.0,0.0,4.0,18.0,0.0
4651,1,15941441.0,50.0,17.0,12.0,3.7813710405322927,9.0,1.0,1.0,0.0,2.0,13.0,0.0
4652,1,15983035.0,37.0,0.0,1.0,2.920392355582761,5.0,1.0,1.0,1.0,6.0,7.0,0.0
4653,1,15992191.0,42.0,0.0,1.0,2.920392355582761,5.0,1.0,1.0,1.0,2.0,7.0,0.0
4654,1,15992190.0,42.0,0.0,1.0,2.9535529068609896,8.0,1.0,1.0,0.0,2.0,7.0,0.0
4655,1,16000000.0,35.0,20.0,9.0,2.1754733289001873,3.0,1.0,0.0,0.0,6.0,16.0,0.0
4656,3,16000000.0,69.0,47.0,9.0,3.6842733333370563,5.0,1.0,0.0,0.0,16.0,17.0,0.0
4657,2,16000000.0,45.0,28.0,12.0,2.7717954457591727,15.0,1.0,0.0,0.0,5.0,8.0,0.0
4658,2,16000000.0,40.0,20.0,10.0,2.8059534874909,12.0,1.0,1.0,0.0,5.0,8.0,0.0
4659,3,16000000.0,72.0,45.0,10.0,6.122889495512303,14.0,1.0,1.0,0.0,2.0,17.0,0.0
4660,2,16100000.0,58.0,34.0,9.0,3.577770620058787,6.0,1.0,0.0,0.0,5.0,12.0,0.0
4661,2,16110000.0,35.0,0.0,3.0,2.347462418600502,13.0,1.0,1.0,1.0,4.0,5.0,0.0
4662,1,16123224.0,39.0,0.0,1.0,2.920392355582761,5.0,1.0,1.0,1.0,4.0,7.0,0.0
4663,1,16611278.0,51.0,0.0,1.0,3.782745499482315,5.0,1.0,1.0,0.0,11.0,13.0,0.0
4664,1,16147815.0,39.0,0.0,1.0,2.920392355582761,5.0,1.0,1.0,1.0,4.0,7.0,0.0
4665,1,16154143.0,51.0,0.0,0.0,3.8180550162034828,9.0,1.0,1.0,0.0,5.0,13.0,0.0
4666,1,16196728.0,45.0,0.0,1.0,2.920392355582761,5.0,1.0,1.0,1.0,4.0,7.0,0.0
4667,2,16200000.0,51.0,29.0,9.0,3.609870428905765,5.0,1.0,0.0,0.0,13.0,14.0,0.0
4668,3,16200000.0,86.0,52.0,10.0,3.742564779550449,8.0,1.0,1.0,0.0,2.0,5.0,0.0
4669,3,16200000.0,65.0,43.0,8.0,4.654515662271491,2.0,1.0,0.0,1.0,5.0,6.0,0.0
4670,3,16300000.0,60.0,48.0,6.0,3.0854012484492452,3.0,1.0,1.0,0.0,5.0,8.0,0.0
4671,1,16300000.0,36.0,18.0,6.0,2.5633613765178223,5.0,1.0,0.0,0.0,6.0,7.0,0.0
4672,3,16300000.0,75.0,54.0,8.0,3.411486780012303,5.0,1.0,1.0,0.0,2.0,6.0,0.0
4673,4,16300000.0,94.0,60.0,9.0,3.322291013086394,10.0,1.0,1.0,1.0,1.0,6.0,0.0
4674,2,16400000.0,53.0,32.0,11.0,3.0210365487731576,7.0,1.0,1.0,0.0,5.0,13.0,0.0
4675,1,16459369.0,42.0,0.0,1.0,2.920392355582761,5.0,1.0,1.0,1.0,3.0,7.0,0.0
4676,4,180000000.0,227.0,190.0,15.0,3.0249792966764035,5.0,1.0,0.0,1.0,5.0,7.0,0.0
4677,2,13900000.0,45.0,23.0,7.0,2.882973388982726,4.0,1.0,0.0,0.0,1.0,9.0,0.0
4678,3,19900000.0,74.0,52.0,10.0,3.6599972830877787,4.0,1.0,1.0,0.0,2.0,18.0,0.0
4679,2,16465925.0,48.0,0.0,1.0,2.9535529068609896,8.0,1.0,1.0,0.0,2.0,7.0,0.0
4680,3,16500000.0,84.0,55.0,9.0,3.988231400887504,14.0,1.0,0.0,0.0,8.0,8.0,0.0
4681,2,16500000.0,60.0,33.0,10.0,3.577770620058787,6.0,1.0,0.0,0.0,14.0,14.0,0.0
4682,3,16500000.0,70.0,51.0,10.0,4.183322180440585,3.0,1.0,0.0,1.0,3.0,12.0,0.0
4683,3,16500000.0,70.0,51.0,10.0,4.183322180440585,3.0,1.0,0.0,1.0,3.0,12.0,0.0
4684,2,16500000.0,40.0,24.0,16.0,4.155685844592984,10.0,1.0,1.0,0.0,8.0,12.0,0.0
4685,2,16500000.0,80.0,52.0,8.0,4.988064142220477,3.0,1.0,1.0,0.0,1.0,8.0,0.0
4686,3,16500000.0,70.0,48.0,8.0,4.183322180440585,5.0,1.0,1.0,0.0,3.0,12.0,0.0
4687,3,16500000.0,60.0,44.0,6.0,2.3955245985428864,8.0,1.0,0.0,0.0,4.0,7.0,0.0
4688,1,16500000.0,47.0,32.0,4.0,1.359453174882275,4.0,1.0,1.0,0.0,8.0,10.0,0.0
4689,4,16500000.0,105.0,75.0,7.0,3.7260571945982037,9.0,1.0,1.0,0.0,5.0,5.0,0.0
4690,3,16500000.0,70.0,51.0,10.0,4.183322180440585,3.0,1.0,0.0,1.0,3.0,12.0,0.0
4691,2,16500000.0,62.0,37.0,12.0,3.5341462420679184,5.0,1.0,1.0,0.0,3.0,8.0,0.0
4692,1,16500000.0,37.0,20.0,9.0,4.706374946805614,8.0,1.0,1.0,0.0,6.0,9.0,0.0
4693,2,16500000.0,40.0,25.0,8.0,1.5908153379972987,3.0,1.0,1.0,0.0,14.0,17.0,0.0
4694,3,16500000.0,70.0,50.0,12.0,4.183322180440585,4.0,1.0,1.0,0.0,3.0,12.0,0.0
4695,2,16500000.0,55.0,30.0,10.0,3.555832608345123,5.0,1.0,0.0,0.0,9.0,10.0,0.0
4696,2,16500000.0,61.0,37.0,8.0,3.4141946733778177,12.0,1.0,1.0,0.0,3.0,6.0,0.0
4697,1,16550074.0,45.0,0.0,1.0,2.920392355582761,5.0,1.0,1.0,1.0,6.0,7.0,0.0
4698,2,16550900.0,59.0,0.0,1.0,4.0793683027816625,5.0,1.0,0.0,0.0,2.0,5.0,0.0
4699,2,16550900.0,59.0,59.0,0.0,4.146654536044941,7.0,1.0,0.0,1.0,2.0,5.0,0.0
4700,1,16600000.0,41.0,34.0,8.0,2.470624387921546,10.0,1.0,1.0,0.0,5.0,8.0,0.0
4701,1,16611278.0,51.0,0.0,0.0,3.7813710405322927,9.0,1.0,1.0,0.0,11.0,13.0,0.0
4702,2,16799000.0,46.0,28.0,7.0,3.066710178753868,7.0,1.0,1.0,0.0,5.0,13.0,0.0
4703,2,16799000.0,46.0,27.0,7.0,3.066710178753868,15.0,1.0,1.0,0.0,5.0,13.0,0.0
4704,4,71999000.0,162.0,120.0,30.0,4.443987203733071,20.0,1.0,0.0,0.0,7.0,22.0,0.0
4705,3,44990000.0,123.0,1.0,0.0,4.979935324365483,2.0,1.0,0.0,0.0,46.0,60.0,0.0
4706,5,35000000.0,155.0,110.0,13.0,3.4178806859660193,13.0,1.0,0.0,0.0,4.0,6.0,0.0
4707,2,16799000.0,46.0,28.0,7.0,3.066710178753868,10.0,1.0,1.0,0.0,5.0,13.0,0.0
4708,2,16800000.0,56.0,35.0,10.0,3.5303883021384603,5.0,1.0,0.0,1.0,2.0,14.0,0.0
4709,2,16800000.0,53.0,32.0,9.0,2.748067069846623,10.0,1.0,1.0,0.0,5.0,8.0,0.0
4710,2,16800000.0,52.0,35.0,7.0,1.9371835728829583,10.0,1.0,1.0,0.0,18.0,22.0,0.0
